id,title,difficulty,tags,link
1,Indexes of Subarray Sum,Medium,"Algorithms, Arrays, Data Structures, prefix-sum, Searching, sliding-window",https://www.geeksforgeeks.org/problems/subarray-with-given-sum-1587115621/1
2,Missing in Array,Easy,"Arrays, Searching, Bit Magic, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1
3,Kadane's Algorithm,Medium,"Arrays, Dynamic Programming, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/kadanes-algorithm-1587115620/1
4,Second Largest,Easy,"Arrays, Searching, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/second-largest3735/1
5,Minimum Jumps,Medium,"Arrays, Greedy, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/minimum-number-of-jumps-1587115620/1
6,Array Duplicates,Easy,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/find-duplicates-in-an-array/1
7,Array Leaders,Easy,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/leaders-in-an-array-1587115620/1
8,"Sort 0s, 1s and 2s",Easy,"Arrays, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s4231/1
9,Majority Element,Medium,"Arrays, Searching, Greedy, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/majority-element-1587115620/1
10,Kth Smallest,Medium,"Arrays, Searching, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/kth-smallest-element5635/1
11,Minimize the Heights II,Medium,"Arrays, Greedy, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/minimize-the-heights3351/1
12,Parenthesis Checker,Easy,"Strings, Stack, STL, Data Structures",https://www.geeksforgeeks.org/problems/parenthesis-checker2744/1
13,Equilibrium Point,Easy,"prefix-sum, Arrays, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/equilibrium-point-1587115620/1
14,Count Inversions,Medium,"Arrays, Divide and Conquer, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/inversion-of-array-1587115620/1
15,Longest Subarray with Sum K,Medium,"Arrays, Hash, Map, Data Structures, Algorithms, prefix-sum",https://www.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1
16,Check for BST,Easy,"Binary Search Tree, Tree, Data Structures",https://www.geeksforgeeks.org/problems/check-for-bst/1
17,Binary Search,Easy,"Arrays, Searching, Divide and Conquer, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/binary-search-1587115620/1
18,Missing And Repeating,Easy,Arrays,https://www.geeksforgeeks.org/problems/find-missing-and-repeating2512/1
19,Left View of Binary Tree,Easy,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/left-view-of-binary-tree/1
20,Peak element,Basic,"Arrays, Searching, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/peak-element/1
21,Undirected Graph Cycle,Medium,"DFS, Graph, union-find, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1
22,Minimum Platforms,Medium,"Arrays, Greedy, Sorting, Binary Search, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/minimum-platforms-1587115620/1
23,Remove loop in Linked List,Medium,"Linked List, two-pointer-algorithm, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/remove-loop-in-linked-list/1
24,Two sum -Pairs with 0 Sum,Easy,"Arrays, Sorting, two-pointer-algorithm",https://www.geeksforgeeks.org/problems/count-pairs-with-given-sum5022/1
25,Trapping Rain Water,Hard,"Arrays, Dynamic Programming, Data Structures, Algorithms, Stack, two-pointer-algorithm",https://www.geeksforgeeks.org/problems/trapping-rain-water-1587115621/1
26,0 - 1 Knapsack Problem,Medium,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1
27,Perfect Sum Problem,Medium,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/perfect-sum-problem5633/1
28,Detect Loop in linked list,Medium,"Linked List, two-pointer-algorithm, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/detect-loop-in-linked-list/1
29,BFS of graph,Easy,"Graph, BFS, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/bfs-traversal-of-graph/1
30,Rotate Array,Medium,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/rotate-array-by-n-elements-1587115621/1
31,Cycle in a Directed Graph,Medium,"Graph, Data Structures",https://www.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1
